id,category,BERTScore,BLEU,ROUGE-L,METEOR
syn_000139,Support Currently Used,0.5567945837974548,1.131740675080429e-78,0.14728682170542634,0.3047541832429376
syn_000027,Caregiving Challenges – Emotional Impact,0.5404160618782043,2.7729304482510142e-155,0.13740458015267176,0.28005040197348574
syn_000049,Caregiving Challenges – Emotional Impact,0.5370813608169556,1.2726119615895568e-231,0.15593220338983052,0.26732712637149747
syn_000095,Caregiving Challenges – Distance Caregiving,0.5500851273536682,9.846980042872508e-79,0.15333333333333335,0.28246441223832525
syn_000050,Caregiving Challenges – Emotional Impact,0.5913985371589661,1.0901602548236234e-78,0.17058823529411768,0.33459054805685035
syn_000039,Caregiving Challenges – Emotional Impact,0.5615015029907227,0.02368813305315736,0.15339233038348082,0.29352683366991794
syn_000163,Support Needed,0.5201437473297119,2.60622656378488e-155,0.11715481171548119,0.27351865127791825
syn_000200,Online Support – Willingness,0.5735684633255005,1.0223607635583787e-78,0.2129277566539924,0.2794759825327511
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.5283302664756775,2.770732257405947e-155,0.1232876712328767,0.24984088088342937
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.5470153093338013,1.0715931237431482e-78,0.17105263157894737,0.24731182795698925
syn_000169,Support Needed,0.5274167060852051,3.1971871577897873e-155,0.14334470989761092,0.2788278110546668
syn_000204,Online Support – Barriers,0.5052717924118042,2.3335787594033964e-155,0.09418282548476455,0.23962092458934794
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.5533435940742493,1.2938669015804916e-78,0.14915254237288134,0.24142757172848145
syn_000328,Caregiving Challenges – Distance Caregiving,0.5276170372962952,4.3491922415335424e-155,0.13114754098360656,0.26685284451608676
syn_000352,Caregiving Challenges – None Reported,0.5638019442558289,1.1021847383967981e-78,0.19607843137254902,0.3330228010625738
syn_000391,Support Currently Used,0.5742310881614685,1.617133605588912e-78,0.20849420849420847,0.36406935307017546
syn_000385,Support Currently Used,0.52159184217453,3.486108989940505e-155,0.14393939393939395,0.28114186851211076
syn_000392,Support Currently Used,0.5370116829872131,0.0474824067728354,0.18120805369127516,0.2860318536733763
syn_000416,Support Needed,0.5252816081047058,1.1902234138128775e-78,0.15702479338842976,0.3104595430322183
syn_000401,Support Needed,0.5322955250740051,2.9859983520187458e-155,0.12162162162162164,0.2942452482675803
syn_000423,Support Needed,0.5399308800697327,3.6564234719008865e-155,0.1338289962825279,0.3032939964758146
syn_000452,Online Support – Barriers,0.5318664312362671,2.6577739049255247e-155,0.1107011070110701,0.2217391304347826
syn_000436,Online Support – Willingness,0.5209601521492004,3.1407649815268e-155,0.11510791366906475,0.25949442193792405
syn_000457,Online Support – Barriers,0.5591444373130798,3.873061209520312e-155,0.13654618473895583,0.23789761092150175
syn_000453,Online Support – Barriers,0.5515466332435608,4.0283023445858295e-155,0.12549019607843137,0.25917896521024514
syn_000471,Online Support – Barriers,0.5428958535194397,3.42715047174618e-155,0.14482758620689654,0.2772235267798415
syn_000486,Current Digital Tool Use,0.5226542949676514,4.160537919156662e-155,0.17006802721088432,0.3080696587899036
syn_000467,Online Support – Barriers,0.5464267134666443,1.0412042899783663e-78,0.1569767441860465,0.29636755783822366
syn_000530,Caregiving Challenges – Emotional Impact,0.5131576061248779,0.024101933358124775,0.15753424657534248,0.321683809212806
syn_000533,Caregiving Challenges – Emotional Impact,0.5414301156997681,3.946494160466027e-155,0.183206106870229,0.25523012552301255
syn_000539,Caregiving Challenges – Emotional Impact,0.5245383381843567,8.990131727481066e-79,0.19310344827586207,0.29528275519677916
syn_000637,Support Currently Used,0.5635862946510315,1.109089437202859e-78,0.18181818181818182,0.3347847729319126
syn_000605,Caregiving Challenges – None Reported,0.5584139823913574,1.0059710703119517e-78,0.19083969465648856,0.25210084033613445
syn_000645,Support Currently Used,0.5666232109069824,1.083848507366204e-78,0.16140350877192983,0.2701137895270536
syn_000572,Caregiving Challenges – Care Recipient Behavior,0.5415636301040649,3.4567268595968914e-155,0.16363636363636364,0.2973395931142411
syn_000660,Support Needed,0.5128581523895264,5.147838771059766e-155,0.16117216117216118,0.28978005460835843
syn_000678,Online Support – Willingness,0.4749804139137268,3.4239011537845824e-155,0.10791366906474821,0.27098129918483627
syn_000686,Online Support – Willingness,0.5287706255912781,4.2194122394383645e-155,0.1416666666666667,0.29092569633453763
syn_000726,Current Digital Tool Use,0.542327344417572,3.5848154794316875e-155,0.1297709923664122,0.26772344322344327
syn_000693,Online Support – Willingness,0.5364633202552795,2.7064741064219496e-155,0.13745704467353953,0.2471169686985173
