id,category,BERTScore,BLEU,ROUGE-L,METEOR
syn_000049,Caregiving Challenges – Emotional Impact,0.5254442691802979,3.0730966900455255e-155,0.15,0.2864211308992878
syn_000027,Caregiving Challenges – Emotional Impact,0.539618730545044,3.4941818675570817e-155,0.14785992217898833,0.3004272567922875
syn_000039,Caregiving Challenges – Emotional Impact,0.5542347431182861,0.04917429360660803,0.16961130742049468,0.25650842266462487
syn_000139,Support Currently Used,0.5523772239685059,1.4539969418931874e-78,0.16494845360824745,0.35224882303980853
syn_000095,Caregiving Challenges – Distance Caregiving,0.5485503077507019,0.03292140470826342,0.18770226537216828,0.36892121592762533
syn_000050,Caregiving Challenges – Emotional Impact,0.5752441883087158,4.914275540070715e-155,0.17230769230769233,0.3307158894967313
syn_000163,Support Needed,0.5536267161369324,2.985062492014029e-155,0.1188811188811189,0.3009629983056656
syn_000169,Support Needed,0.5086148977279663,4.0444619316794885e-155,0.1342281879194631,0.2965838952004904
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.524374783039093,2.5877954644602016e-155,0.13813813813813813,0.24759284731774414
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.5695685744285583,1.2015416203390962e-78,0.19154929577464788,0.307091718811658
syn_000204,Online Support – Barriers,0.5113935470581055,2.7674023886826804e-155,0.11976047904191618,0.22598870056497178
syn_000200,Online Support – Willingness,0.5572999715805054,7.916605508425527e-79,0.16886543535620052,0.32493893982178085
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.540447473526001,3.839710239484966e-155,0.1641337386018237,0.2787829440380542
syn_000352,Caregiving Challenges – None Reported,0.5720791220664978,0.03425010471500697,0.19230769230769232,0.335508355839473
syn_000328,Caregiving Challenges – Distance Caregiving,0.5627522468566895,1.377679826773691e-78,0.1872909698996655,0.3058072833906021
syn_000385,Support Currently Used,0.5239330530166626,4.148768894792666e-155,0.1642857142857143,0.3182470453840296
syn_000391,Support Currently Used,0.55812007188797,1.2724952600554868e-78,0.19580419580419578,0.35007813054904474
syn_000392,Support Currently Used,0.5436429977416992,0.03267126494142745,0.2007168458781362,0.2798909523206271
syn_000416,Support Needed,0.5514621734619141,1.4367671708984528e-78,0.1984126984126984,0.34316667843608034
syn_000423,Support Needed,0.5304896831512451,3.3665023568367495e-155,0.15384615384615383,0.3110090195635486
syn_000453,Online Support – Barriers,0.570592999458313,4.383549983469388e-155,0.14492753623188406,0.2698552901187146
syn_000401,Support Needed,0.527127742767334,2.82804929674919e-155,0.11838006230529595,0.2936139159443601
syn_000436,Online Support – Willingness,0.499844491481781,2.3725979899568053e-155,0.10682492581602375,0.24701784413966024
syn_000452,Online Support – Barriers,0.5053983926773071,3.842411484362915e-155,0.12461059190031154,0.28555042409973136
syn_000457,Online Support – Barriers,0.5184609889984131,8.503381338953662e-79,0.13836477987421383,0.2686550427034702
syn_000486,Current Digital Tool Use,0.5193932056427002,3.848139864578874e-155,0.1458966565349544,0.2950591598507107
syn_000530,Caregiving Challenges – Emotional Impact,0.5571736097335815,0.03321557418440941,0.16286644951140064,0.3668293990300751
syn_000533,Caregiving Challenges – Emotional Impact,0.5415969491004944,1.0751540175843609e-78,0.16722408026755853,0.3452348595667749
